      x         y         z     velocity      sfr
     41.92     70.24     26.83   5866.38      0.00
     45.07     16.42     26.90   2623.17      1.95
     41.26     77.96     26.94   6006.43      1.67
     41.59    133.57     26.96   9825.19      0.00
     47.37     84.40     27.27   6222.54      2.02
     58.61     45.77     27.30   4320.07      2.66
     42.10     74.81     27.31   5728.21      2.18
     58.69     63.58     27.61   4974.02      4.15
     55.65     85.29     27.89   6069.45      2.79
     41.93     25.03     28.01   2918.21      1.75
     48.01    124.21     28.48   9274.40      3.34
     44.15      5.70     28.67   2209.90      6.56
     44.45      0.65     29.10   2149.87      1.71
     53.61     19.36     29.16   2690.41      0.00
     53.52     19.30     29.22   3020.37     11.87
     45.25     17.75     29.37   2774.11      3.68
     56.52     87.01     29.59   6499.86      3.13
     50.82     78.49     29.86   6203.80      2.74
     56.30     45.08     29.86   4241.49      2.49
     50.72    124.32     30.04   9752.08      1.58
     46.49     16.69     30.32   2600.43      0.00
     46.10     17.24     30.75   2771.02      0.00
     46.33     17.07     30.82   2853.07      0.00
     42.69    134.14     30.86  10368.83      2.14
     46.46     17.00     30.91   2662.69      0.00
     41.41     34.35     30.92   4539.92      1.40
     41.45     35.50     30.93   4368.92      0.00
     50.83    123.93     30.93   9387.05      1.28
     40.51     35.83     30.97   2978.16      0.00
     40.78     34.96     31.04   4066.61      0.00
     41.17     35.92     31.28   3443.31      0.00
     41.19     35.88     31.28   4519.23      0.00
     41.20     35.88     31.28   3574.80      0.00
     40.95     35.77     31.38   4272.58      0.00
     41.60     35.93     31.47   2903.87      0.00
     59.80     94.22     31.79   6791.84      1.74
     51.60     57.88     32.65   5038.63      5.23
     49.92     64.57     32.76   5191.62      9.32
     45.55     41.13     32.84   3870.97      0.00
     43.10     38.98     32.88   3760.62      4.23
     45.18     41.16     32.94   4194.00      0.00
     45.19     41.25     32.99   4022.08      0.00
     50.78     57.30     33.07   5282.21      2.07
     51.30     43.93     33.15   4515.65      0.00
     52.79     34.02     33.15   4206.39      4.74
     50.10     85.46     33.23   6751.28      3.09
     41.47     41.93     33.52   4222.29      5.22
     45.10     49.75     33.61   5243.25      2.49
     43.69     42.64     33.71   4023.37      3.08
     44.30     35.27     33.81   4079.31      4.42
     47.69     44.12     33.82   3776.02      0.58
     55.41    123.96     33.94   9752.79      1.96
     44.02     45.38     33.97   4791.51      5.13
     47.80     44.11     33.97   3905.85     20.57
     47.73     86.16     34.04   6647.45      3.08
     48.10     43.70     34.09   4650.48      0.09
     46.70     57.31     34.29   4945.95      1.91
     44.92     42.71     34.43   3867.18      1.84
     56.89     40.38     34.81   4153.62      6.03
     52.41     17.17     34.89   2645.55     16.68
     54.29     85.90     34.91   6880.70      5.12
     45.78     22.98     34.92   3541.83      6.45
     46.07     30.93     35.03   3462.40      8.29
     45.82     22.94     35.04   2943.27      0.00
     52.57     17.27     35.04   2814.40      0.00
     51.52     34.53     35.12   3813.14      1.67
     53.04    124.43     35.16   9795.51      2.30
     57.34      0.60     35.64   2817.21      1.35
     54.78     18.76     35.69   3174.15      4.05
     55.90     20.92     35.69   2946.15      2.95
     56.09     21.68     35.78   2923.83      3.85
     44.65     48.29     35.81   5113.67      5.97
     46.16     49.50     35.82   5255.97      1.65
     54.24     86.72     35.87   6799.95      4.49
     43.94     56.03     36.03   4600.66      4.03
     52.76     16.19     36.23   2787.35     10.30
     40.06     54.07     36.64   5030.08      0.00
     44.87     16.23     36.71   2937.12      2.22
     52.07     85.42     36.93   6877.52      3.13
     45.70     51.90     37.09   4402.93      0.00
     45.74     51.90     37.12   5135.74      0.00
     52.54     38.03     37.21   4084.06      1.93
     49.28     52.10     37.28   5063.01      4.74
     49.29     52.07     37.30   4936.47      0.00
     57.61     38.99     37.34   4454.60      5.77
     45.69     52.06     37.40   5056.81      0.00
     54.08     85.87     37.44   6722.91      4.25
     58.05     55.87     37.55   5093.55     10.56
     45.12     51.63     37.65   4911.08      0.00
     45.23     52.09     37.78   4802.91      0.00
     53.33     52.49     37.81   5094.57      2.31
     54.25     87.26     37.85   6678.48      1.76
     45.60     52.43     37.89   5486.87      0.00
     46.22     52.40     38.03   4252.78      0.00
     45.77      5.29     38.06   2991.27      1.90
     56.47     53.06     38.13   4908.50      5.32
     46.04     52.69     38.20   4607.93      0.00
     46.65     22.18     38.42   3228.41      2.84
     45.11     52.93     38.43   5215.39      0.00
     40.17      6.44     38.62   2823.34      2.40
     55.96     13.00     38.80   3151.40      3.94
     47.53     52.35     39.59   4849.53      3.01
     50.52     52.98     39.63   4864.05      3.35
     42.04     55.18     39.83   4957.10      1.71
     53.12     80.75     39.96   6624.66      1.69
     49.35     52.62     40.04   4944.87      0.82
     41.92     37.67     40.32   4227.57      1.68
     44.85     83.89     40.58   6742.69      2.80
     45.06      7.15     40.63   3319.68      2.32
     43.19     20.40     40.64   3217.25      2.21
     44.14      8.07     40.71   2964.47      4.48
     49.18     60.72     41.62   5630.80      3.03
     59.83     94.50     41.64   7448.01      1.48
     56.23     52.61     41.73   5204.29      2.47
     48.59     12.42     41.74   2973.94      1.79
     47.41     10.12     41.87   3509.36     21.41
     47.53     82.04     42.03   7054.30      1.59
     50.07     10.11     42.08   3405.98      4.50
     47.54     52.11     42.23   4645.49      1.50
     41.67     10.26     42.39   3406.04      9.65
     42.96     10.22     42.39   3202.35      0.00
     48.90     16.10     42.49   3332.84      2.95
     52.58      9.84     42.77   3348.16      2.00
     40.24      9.48     42.84   3443.72      3.45
     46.67     23.54     43.08   3687.09      1.91
     46.85     22.57     43.25   3582.14      0.51
     51.45      6.03     43.36   3223.57      1.08
     58.87      8.18     43.46   3295.68      2.23
     51.73      5.28     43.54   3363.49     10.50
     53.67      7.35     43.59   3347.22      2.35
     40.62      8.64     43.70   3183.64      2.62
     48.76      5.73     43.95   3556.27      9.94
     48.73      5.74     44.01   3253.26      0.00
     46.11     47.56     44.16   5035.32     13.12
     58.85     86.80     44.41   7167.88      1.68
     47.35      5.59     44.42   3266.07      2.25
     47.53     18.37     44.53   3472.89      5.11
     58.67     95.33     44.68   7660.68      3.87
